token,model,logprob_sum,count
432,delphi-llama2-100k,-8307.888183057308,17415
440,delphi-llama2-100k,-1179.9694573320448,16567
261,delphi-llama2-100k,-150585.52900058636,151848
403,delphi-llama2-100k,-9401.606191883911,21844
4045,delphi-llama2-100k,-207269.675427588,233957
406,delphi-llama2-100k,-26130.437831838615,21305
286,delphi-llama2-100k,-125618.99626725074,107556
799,delphi-llama2-100k,-12123.617525309324,3151
478,delphi-llama2-100k,-18903.716076817364,12365
407,delphi-llama2-100k,-9651.548405426904,21040
385,delphi-llama2-100k,-37560.27122853976,20568
4037,delphi-llama2-100k,-274867.8461031233,419484
505,delphi-llama2-100k,-20895.584796205163,10482
268,delphi-llama2-100k,-136369.46767106897,150129
1555,delphi-llama2-100k,-2180.317711830139,389
622,delphi-llama2-100k,-16479.318051477894,5907
387,delphi-llama2-100k,-21857.45202998817,15317
331,delphi-llama2-100k,-13728.139138053753,43098
397,delphi-llama2-100k,-35331.459838295355,21493
509,delphi-llama2-100k,-28463.58284400776,10425
350,delphi-llama2-100k,-72418.7455187589,34938
614,delphi-llama2-100k,-13862.97884219396,5977
1318,delphi-llama2-100k,-5210.574332475662,1118
375,delphi-llama2-100k,-28468.81613742761,25200
1280,delphi-llama2-100k,-3918.2366712652147,1159
381,delphi-llama2-100k,-54592.59120862931,25283
380,delphi-llama2-100k,-37441.50451241713,25793
13,delphi-llama2-100k,-68629.48184800183,91185
2112,delphi-llama2-100k,-6075.0870826561,4092
606,delphi-llama2-100k,-25576.50695568323,6290
486,delphi-llama2-100k,-23888.150235034525,7107
2929,delphi-llama2-100k,-1614.1293687820435,215
4040,delphi-llama2-100k,-1730.4620931502432,963
669,delphi-llama2-100k,-19135.28017473221,5047
269,delphi-llama2-100k,-258536.64844002645,194588
921,delphi-llama2-100k,-11373.71804779768,2509
341,delphi-llama2-100k,-36041.169386230875,37723
2652,delphi-llama2-100k,-1073.4563946723938,250
492,delphi-llama2-100k,-28816.198710268363,11158
457,delphi-llama2-100k,-27744.75704645738,14302
579,delphi-llama2-100k,-29722.53632134199,7090
544,delphi-llama2-100k,-27594.45975126326,8186
920,delphi-llama2-100k,-2082.5957894325256,343
1752,delphi-llama2-100k,-3354.0809030532837,524
4056,delphi-llama2-100k,-47062.34914426878,18617
395,delphi-llama2-100k,-47754.13096880913,18855
729,delphi-llama2-100k,-10167.552930183709,4074
412,delphi-llama2-100k,-47556.82427226752,19908
675,delphi-llama2-100k,-18605.7873211205,4732
4071,delphi-llama2-100k,-1577.710058927536,246
3212,delphi-llama2-100k,-84.14499370753765,86
1316,delphi-llama2-100k,-6333.783849239349,1211
1057,delphi-llama2-100k,-8425.571177840233,1696
1726,delphi-llama2-100k,-3348.6774327754974,583
892,delphi-llama2-100k,-8233.354217082262,2508
1897,delphi-llama2-100k,-1802.3593538962305,503
993,delphi-llama2-100k,-9843.402307271957,2009
342,delphi-llama2-100k,-65437.6459093485,38493
390,delphi-llama2-100k,-21824.53887132369,21231
720,delphi-llama2-100k,-7833.757345015183,3669
366,delphi-llama2-100k,-47455.7790489234,29736
410,delphi-llama2-100k,-34515.91429725289,20029
425,delphi-llama2-100k,-39899.869742162526,11246
311,delphi-llama2-100k,-57498.20430041477,52188
434,delphi-llama2-100k,-52961.66323093325,17045
628,delphi-llama2-100k,-12342.385053880513,5939
981,delphi-llama2-100k,-3670.453022061847,2060
924,delphi-llama2-100k,-3516.568485688884,2363
888,delphi-llama2-100k,-7346.444836028852,2585
1,delphi-llama2-100k,-18479.299718447146,27511
367,delphi-llama2-100k,-5613.086778223515,1126
501,delphi-llama2-100k,-377.2179862111807,148
1917,delphi-llama2-100k,-2350.1868218779564,481
372,delphi-llama2-100k,-25203.102346471976,11694
3398,delphi-llama2-100k,-1115.7475950717926,166
577,delphi-llama2-100k,-26538.549996972084,6577
359,delphi-llama2-100k,-59394.43541361904,25631
1854,delphi-llama2-100k,-1925.2099948376417,487
1811,delphi-llama2-100k,-2187.2254636883736,545
482,delphi-llama2-100k,-25908.773093402386,9479
698,delphi-llama2-100k,-15882.704790771008,4488
264,delphi-llama2-100k,-237800.78725457005,209949
525,delphi-llama2-100k,-12521.253503884189,9166
1014,delphi-llama2-100k,-6752.659204062074,1849
429,delphi-llama2-100k,-45350.72503050417,17621
1004,delphi-llama2-100k,-3300.3575892448425,643
384,delphi-llama2-100k,-47507.2030008845,24810
1101,delphi-llama2-100k,-6211.792765751481,1560
1091,delphi-llama2-100k,-4447.808271032758,1574
4032,delphi-llama2-100k,-24288.217041477397,42823
507,delphi-llama2-100k,-34048.92972216755,10360
624,delphi-llama2-100k,-17927.53972554207,6121
837,delphi-llama2-100k,-5006.776573388837,2921
370,delphi-llama2-100k,-37003.13807610521,27029
2241,delphi-llama2-100k,-1602.1098029613495,234
317,delphi-llama2-100k,-98312.73838175833,38740
670,delphi-llama2-100k,-4642.016611814499,869
1728,delphi-llama2-100k,-2646.5350339710712,610
959,delphi-llama2-100k,-5341.023637890816,1150
829,delphi-llama2-100k,-10477.966302931309,2907
1067,delphi-llama2-100k,-3677.979906268418,1689
424,delphi-llama2-100k,-38598.64833884314,17305
466,delphi-llama2-100k,-25602.49306824431,13072
3824,delphi-llama2-100k,-518.7817126512527,98
1526,delphi-llama2-100k,-4783.561835885048,768
1102,delphi-llama2-100k,-3704.4464192921296,1603
1256,delphi-llama2-100k,-3931.415304630995,1115
515,delphi-llama2-100k,-25328.1303319484,9662
1019,delphi-llama2-100k,-9530.377584815025,1899
697,delphi-llama2-100k,-15469.85566085577,4457
713,delphi-llama2-100k,-15182.873721659184,4465
602,delphi-llama2-100k,-14167.94644734636,6016
886,delphi-llama2-100k,-10183.264666803181,2584
560,delphi-llama2-100k,-22648.770629048347,7634
1000,delphi-llama2-100k,-4283.318835604936,1941
2567,delphi-llama2-100k,-1980.3642435073853,272
500,delphi-llama2-100k,-19333.92378589604,10833
1235,delphi-llama2-100k,-6081.393727302551,1229
369,delphi-llama2-100k,-72439.45319782197,28874
4001,delphi-llama2-100k,-620.8694496825337,159
313,delphi-llama2-100k,-100029.59973216197,51307
282,delphi-llama2-100k,-68286.12958767405,47010
1030,delphi-llama2-100k,-7583.451973795891,1881
1365,delphi-llama2-100k,-4624.72452044487,938
1700,delphi-llama2-100k,-3228.159956395626,628
4053,delphi-llama2-100k,-7842.190741949715,10356
3935,delphi-llama2-100k,-649.6267558646505,9509
2042,delphi-llama2-100k,-1794.8214253783226,431
551,delphi-llama2-100k,-19448.60345590487,8338
858,delphi-llama2-100k,-5963.485726501793,1862
1521,delphi-llama2-100k,-2073.007172241807,918
876,delphi-llama2-100k,-9389.306504954584,2555
1516,delphi-llama2-100k,-4019.6857835054398,873
889,delphi-llama2-100k,-10396.593260630965,2572
495,delphi-llama2-100k,-22124.354784704745,11232
467,delphi-llama2-100k,-28430.83628543839,11192
712,delphi-llama2-100k,-11372.069007307291,3803
844,delphi-llama2-100k,-5196.820335317869,2794
4060,delphi-llama2-100k,-16776.203116431832,8212
503,delphi-llama2-100k,-11627.60841033049,5290
435,delphi-llama2-100k,-26952.469406079035,13162
316,delphi-llama2-100k,-50198.01291294256,49155
711,delphi-llama2-100k,-16816.40267699957,4393
3749,delphi-llama2-100k,-1017.7812118530273,158
1126,delphi-llama2-100k,-8445.293231248856,1580
601,delphi-llama2-100k,-21074.542423263192,5650
1301,delphi-llama2-100k,-1871.1829713582993,295
1947,delphi-llama2-100k,-1957.853378918022,566
2164,delphi-llama2-100k,-2497.6384100914,424
599,delphi-llama2-100k,-24013.598751218058,6599
3673,delphi-llama2-100k,-1024.2394304275513,111
1104,delphi-llama2-100k,-8174.8072682619095,1572
1515,delphi-llama2-100k,-1928.5542156994343,745
3018,delphi-llama2-100k,-1566.787005662918,232
3158,delphi-llama2-100k,-1061.8167496919632,189
4054,delphi-llama2-100k,-50703.832288629936,41177
1788,delphi-llama2-100k,-2651.9338334798813,539
330,delphi-llama2-100k,-48244.78036542982,37800
477,delphi-llama2-100k,-23341.474450707436,11475
326,delphi-llama2-100k,-39288.989949245006,24636
332,delphi-llama2-100k,-84431.51035606675,42768
345,delphi-llama2-100k,-70457.55642100493,38618
415,delphi-llama2-100k,-25738.005046429695,19423
4026,delphi-llama2-100k,-4681.911520883768,14223
363,delphi-llama2-100k,-17733.812844001455,9804
504,delphi-llama2-100k,-16624.44399268739,9553
327,delphi-llama2-100k,-68286.89681806788,43508
307,delphi-llama2-100k,-27214.61829027065,48830
1088,delphi-llama2-100k,-3373.2517703026533,1650
832,delphi-llama2-100k,-12260.731413573027,2957
411,delphi-llama2-100k,-34333.051152065396,19663
413,delphi-llama2-100k,-22889.03831784008,17632
3821,delphi-llama2-100k,-582.5124964416027,131
543,delphi-llama2-100k,-24130.87918008305,8486
1901,delphi-llama2-100k,-2210.8478595018387,541
468,delphi-llama2-100k,-23165.90574304387,12359
340,delphi-llama2-100k,-28372.28549745679,18384
471,delphi-llama2-100k,-11057.995320104063,12071
567,delphi-llama2-100k,-21886.71235898137,7638
1495,delphi-llama2-100k,-2577.6428919434547,885
1181,delphi-llama2-100k,-2531.5230657458305,505
324,delphi-llama2-100k,-30887.437264923006,13207
559,delphi-llama2-100k,-19376.23958107829,6891
398,delphi-llama2-100k,-36727.57169709355,21964
4057,delphi-llama2-100k,-4532.951385729015,1657
1497,delphi-llama2-100k,-72.42996371537447,83
474,delphi-llama2-100k,-28056.270981620997,12381
757,delphi-llama2-100k,-5087.3496936376905,3675
443,delphi-llama2-100k,-22811.955473690876,13969
718,delphi-llama2-100k,-11098.430332928896,2711
583,delphi-llama2-100k,-22739.039746433496,6944
904,delphi-llama2-100k,-1784.6408425280824,2445
801,delphi-llama2-100k,-1796.8496067552478,3127
388,delphi-llama2-100k,-9481.61401951313,2258
575,delphi-llama2-100k,-15138.47351012379,7145
1670,delphi-llama2-100k,-3414.3142869472504,636
422,delphi-llama2-100k,-18722.586640179157,5720
823,delphi-llama2-100k,-2364.9650921931025,3035
895,delphi-llama2-100k,-5879.506444945931,2478
572,delphi-llama2-100k,-19291.01316844113,7035
625,delphi-llama2-100k,-16548.815319031477,5510
752,delphi-llama2-100k,-14502.423465967178,3471
4047,delphi-llama2-100k,-7944.828968316317,2412
4027,delphi-llama2-100k,-4914.041024692357,3979
454,delphi-llama2-100k,-48.26717188069597,222
391,delphi-llama2-100k,-56691.10930927005,21981
777,delphi-llama2-100k,-10913.82538881898,2619
660,delphi-llama2-100k,-13546.080581199378,4996
1196,delphi-llama2-100k,-2920.860192462802,1410
997,delphi-llama2-100k,-3088.064556928264,2031
433,delphi-llama2-100k,-21154.350488648284,16440
386,delphi-llama2-100k,-52867.9059853123,24505
